Name,Description,longitude,latitude
BI 13 Adult,,-155.9634821337374,19.59960232622137
BI Offspring,,-155.9701389,19.594
BI Daifukuji Offspring,,-155.9285619960251,19.54247509148288
BI Daifukuji Offspring,,-155.9286480174532,19.54250268168425
BI Daifukuji Adult (BI1?),,-155.9285288523203,19.54253038567334
BI Adult (BI31?),,-155.9131063781836,19.4919110278933
BI 10 Adult,,-155.8981389,19.4578056
BI Offspring,,-155.8980278,19.4579444
BI 15 Adult,,-155.8928056,19.4513611
BI 16 Adult,,-155.8928611,19.4511111
BI Offspring,,-155.8927778,19.4512778
BI Offspring,,-155.8927778,19.4512778
BI Offspring,,-155.8927778,19.4511667
BI Offspring,,-155.8927778,19.4511111
BI Offspring,,-155.8927778,19.4510833
BI Offspring,,-155.89275,19.4510833
BI Offspring,,-155.8927222,19.4510556
BI Offspring,,-155.89275,19.4510278
BI Offspring,,-155.89275,19.4510278
BI Offspring,,-155.8928056,19.4510556
BI Offspring,,-155.8923611,19.4513333
BI Offspring,,-155.8922778,19.4512222
BI Offspring,,-155.8920833,19.4508889
BI Offspring,,-155.8920278,19.4508889
BI Offspring,,-155.8920278,19.4509167
BI 14 Adult,,-155.9044167,19.425
BI 9 Adult,,-155.59025,19.0595556
BI 8 Adult,,-155.5902476876677,19.05965085790787
BI 7 Adult,,-155.5902503344404,19.05978439776786
BI Offspring,,-155.5902197374591,19.0598284719786
BI Offspring,,-155.5901944,19.0599167
BI Offspring,,-155.5897778,19.0596667
BI Offspring,,-155.5898056,19.05975
BI Offspring,,-155.5897778,19.05975
BI Offspring,,-155.5898056,19.05975
BI 11 Adult,,-155.0396111,19.6245278
BI17,,-155.0390819219545,19.62491246069746
BI 12 Adult,,-155.3732222,20.0411389
