latitude,longitude,name,num_overlaps,area_overlaps,trees_in_circle
21.317,-157.8579722,O30,2,4.067067233550779e-5,99
21.4309167,-157.83275,O34,0,0,1
21.6416111,-158.0558333,O35,0,0,0
21.2946389,-157.8441944,O36,0,0,1
21.3209722,-157.8504167,O43,0,0,6
21.3169722,-157.8443056,O44,0,0,5
21.30725,-157.839,O45,0,0,0
21.3065833,-157.8323056,O46,0,0,0
21.3170278,-157.8555556,O50,2,2.718937498299753e-5,42
21.3018056,-157.8582778,O32,0,0,22
21.30125,-157.8148056,O31,1,5.656970436399465e-6,27
21.2800278,-157.8281111,O47,0,0,0
21.3845833,-158.0171667,O48,0,0,5
21.4986667,-158.0227778,O18,0,0,3
21.3383056,-157.83775,O17,1,2.437015788095747e-5,49
21.3381111,-157.8372778,O49,1,2.437015788095747e-5,49
21.3121667,-157.8481389,O12,6,0.00014394837793290372,7
21.3120556,-157.84825,O13,6,0.0001467874143313601,7
21.3116111,-157.84825,O14,6,0.00015047898896213398,7
21.3113333,-157.8480556,O50,6,0.00014657885080979083,7
21.3114444,-157.8481667,O51,6,0.00014920380585749989,7
21.3118611,-157.8482778,O52,6,0.0001496536359732189,7
21.3114444,-157.8477222,O53,6,0.0001425796384319449,7
21.3169722,-157.8579444,O15,2,4.0817981433233984e-5,99
21.3006667,-157.8187778,O4,5,2.104170137634109e-5,37
21.29625,-157.8196111,O40,4,8.05854464606501e-5,81
21.29625,-157.8194444,O39,4,8.262993009723547e-5,85
21.2962778,-157.8193889,O38,4,8.274900081244725e-5,85
21.29625,-157.8191111,O37,4,7.952946979392169e-5,86
